Country Name,Country Code,2010,2011,2012
Afghanistan,AFG,41.38579639,54.26208022,53.89696302
Albania,ALB,84.02413769,96.3933945,108.4473347
Algeria,DZA,92.42126075,98.9875902,103.3058644
American Samoa,ASM,,,
Andorra,AND,77.17642345,75.48772704,74.2704358
Angola,AGO,46.68924162,48.37797435,48.61000241
Antigua and Barbuda,ATG,189.3473115,196.4111949,198.6178323
Argentina,ARG,132.880086,134.9211144,142.5117584
Armenia,ARM,125.008538,103.5663737,106.8789619
Aruba,ABW,122.6183388,,124.3242745
Australia,AUS,101.0401114,108.3353549,106.1928152
Austria,AUT,145.8365401,154.78324,161.2069881
Azerbaijan,AZE,99.0457981,108.7479044,107.4721324
"Bahamas, The",BHS,124.9360558,86.0629767,72.30802078
Bahrain,BHR,124.1842238,127.9641264,156.2284983
Bangladesh,BGD,45.68088879,56.06129927,63.76273324
Barbados,BRB,128.0721909,127.0117733,126.3978436
Belarus,BLR,107.6857389,111.8778807,112.059546
Belgium,BEL,113.4612221,120.4901109,119.3859019
Belize,BLZ,62.31841272,69.95514708,50.61826995
Benin,BEN,79.94350666,85.33266549,89.90581317
Bermuda,BMU,135.8155865,,139.553429
Bhutan,BTN,54.31798771,65.58453784,74.74118621
Bolivia,BOL,72.30012259,82.82154592,92.63840839
Bosnia and Herzegovina,BIH,82.71568494,84.5173321,89.53313561
Botswana,BWA,117.7616228,142.8181774,150.0911001
Brazil,BRA,101.0174629,119.1718951,125.1878012
Brunei Darussalam,BRN,109.0704903,109.1696269,113.7682493
Bulgaria,BGR,136.1020835,140.6781236,145.7274544
Burkina Faso,BFA,34.65874749,45.27445884,57.06506195
Burundi,BDI,20.01740697,22.32708568,25.68323929
Cambodia,KHM,57.65042433,96.16794137,131.9567118
Cameroon,CMR,44.0670489,52.35359201,64.03876351
Canada,CAN,75.92000763,79.73085886,75.74108483
Cape Verde,CPV,74.97414309,79.19314402,84.16397044
Cayman Islands,CYM,177.6471634,167.6743817,168.2749943
Central African Republic,CAF,22.24995802,22.11901168,23.38979095
Chad,TCD,25.61014279,31.80480042,35.4897603
Channel Islands,CHI,,,
Chile,CHL,116.0021265,129.7080782,138.4977192
China,CHN,64.04089229,73.18776926,81.26473417
Colombia,COL,96.07475053,98.45142015,103.1874415
Comoros,COM,22.4944539,28.70747523,32.32714032
"Congo, Dem. Rep.",COD,17.91890479,23.0894871,28.00856722
"Congo, Rep.",COG,91.98221375,93.84042217,101.1828551
Costa Rica,CRI,65.14446476,92.20475714,128.319647
Cote d Ivoire,CIV,79.03132061,86.06328203,96.27194779
Croatia,HRV,111.9232944,116.3706103,113.3103477
Cuba,CUB,8.909369968,11.68633507,14.94893089
Curacao,CUW,,,
Cyprus,CYP,93.69581035,97.70546068,98.38544554
Czech Republic,CZE,123.6341509,126.112488,122.7851161
Denmark,DNK,115.68695,116.7453434,117.9558921
Djibouti,DJI,18.63508702,21.31809568,22.6507194
Dominica,DMA,155.8023525,160.9516069,161.5310722
Dominican Republic,DOM,89.57888937,87.21780167,88.75353163
Ecuador,ECU,102.1845607,104.5455987,110.7080686
